iteracao;melhor_custo;
236;46568,82266;
237;46568,82266;
238;46249,54365;
239;46249,54365;
240;46249,54365;
241;46249,54365;
242;46249,54365;
243;46249,54365;
244;46249,54365;
245;46249,54365;
246;46249,54365;
247;46249,54365;
248;46249,54365;
249;46249,54365;
250;46249,54365;
251;46249,54365;
252;46249,54365;
253;46249,54365;
254;46249,54365;
255;46249,54365;
256;46249,54365;
257;46249,54365;
258;46249,54365;
259;46249,54365;
260;45129,12419;
261;45129,12419;
262;45129,12419;
263;45129,12419;
264;45129,12419;
265;45129,12419;
266;45129,12419;
267;45129,12419;
268;45129,12419;
269;45129,12419;
270;45129,12419;
271;45129,12419;
272;45129,12419;
273;45129,12419;
274;45129,12419;
275;45129,12419;
276;45129,12419;
277;45129,12419;
278;45129,12419;
279;45129,12419;
280;45129,12419;
281;45129,12419;
282;45129,12419;
283;45129,12419;
284;45129,12419;
285;45129,12419;
286;45129,12419;
287;45129,12419;
288;45129,12419;
289;45129,12419;
290;45129,12419;
291;45129,12419;
292;45129,12419;
293;45129,12419;
294;45129,12419;
295;45129,12419;
296;45129,12419;
297;45129,12419;
298;45129,12419;
299;45129,12419;
300;45129,12419;
301;45129,12419;
302;45129,12419;
303;45129,12419;
304;45129,12419;
305;45129,12419;
306;45129,12419;
307;45129,12419;
308;45129,12419;
309;45129,12419;
310;45129,12419;
311;45129,12419;
312;45129,12419;
313;45129,12419;
314;45129,12419;
315;45129,12419;
316;45129,12419;
317;45129,12419;
318;45129,12419;
319;45129,12419;
320;45129,12419;
321;45129,12419;
322;45129,12419;
323;45129,12419;
324;45129,12419;
325;45129,12419;
326;45129,12419;
327;45129,12419;
328;45129,12419;
329;45129,12419;
330;45129,12419;
331;45129,12419;
332;45129,12419;
333;45129,12419;
334;45129,12419;
335;45129,12419;
336;45129,12419;
337;45129,12419;
338;45129,12419;
339;45129,12419;
340;45129,12419;
341;45129,12419;
342;45129,12419;
343;45129,12419;
344;45129,12419;
345;45129,12419;
346;45129,12419;
347;45129,12419;
348;45129,12419;
349;45129,12419;
350;45129,12419;
351;45129,12419;
352;45129,12419;
353;45129,12419;
354;45129,12419;
355;45129,12419;
356;45129,12419;
357;45129,12419;
358;45129,12419;
359;45129,12419;
360;45129,12419;
361;45129,12419;
362;45129,12419;
363;45129,12419;
364;45129,12419;
365;45129,12419;
366;45129,12419;
367;45129,12419;
368;45129,12419;
369;45129,12419;
370;45129,12419;
371;45129,12419;
372;45129,12419;
373;45129,12419;
374;45129,12419;
375;45129,12419;
376;45129,12419;
377;45129,12419;
378;45129,12419;
379;45129,12419;
380;45129,12419;
381;45129,12419;
382;45129,12419;
383;45129,12419;
384;45129,12419;
385;45129,12419;
386;45129,12419;
387;45129,12419;
388;45129,12419;
389;45129,12419;
390;45129,12419;
391;45129,12419;
392;45129,12419;
393;45129,12419;
394;45129,12419;
395;45129,12419;
396;45129,12419;
397;45129,12419;
398;45129,12419;
399;45129,12419;
400;45129,12419;
401;45129,12419;
402;45129,12419;
403;45129,12419;
404;45129,12419;
405;45129,12419;
406;45129,12419;
407;45129,12419;
408;45129,12419;
409;45129,12419;
410;45129,12419;
411;45129,12419;
412;45129,12419;
413;45129,12419;
414;45129,12419;
415;45129,12419;
416;45129,12419;
417;45129,12419;
418;45129,12419;
419;45129,12419;
420;45129,12419;
421;45129,12419;
422;45129,12419;
423;45129,12419;
424;45129,12419;
425;45129,12419;
426;45129,12419;
427;45129,12419;
428;45129,12419;
429;45129,12419;
430;45129,12419;
431;45129,12419;
432;45129,12419;
433;45129,12419;
434;45129,12419;
435;45129,12419;
436;45129,12419;
437;45129,12419;
438;45129,12419;
439;45129,12419;
440;45129,12419;
441;45129,12419;
442;45129,12419;
443;45129,12419;
444;45129,12419;
445;45129,12419;
446;45129,12419;
447;45129,12419;
448;45129,12419;
449;45129,12419;
450;45129,12419;
451;45129,12419;
452;45129,12419;
453;45129,12419;
454;45129,12419;
455;45129,12419;
456;45129,12419;
457;45129,12419;
458;45129,12419;
459;45129,12419;
460;45129,12419;
461;45129,12419;
462;45129,12419;
463;45129,12419;
464;45129,12419;
465;45129,12419;
466;45129,12419;
467;45129,12419;
468;45129,12419;
469;45129,12419;
470;45129,12419;
471;45129,12419;
472;45129,12419;
473;45129,12419;
474;45129,12419;
475;45129,12419;
476;45129,12419;
477;45129,12419;
478;45129,12419;
479;45129,12419;
480;45129,12419;
481;45129,12419;
482;45129,12419;
483;45129,12419;
484;45129,12419;
485;45129,12419;
486;45129,12419;
487;45129,12419;
488;45129,12419;
489;45129,12419;
490;45129,12419;
491;45129,12419;
492;45129,12419;
493;45129,12419;
494;45129,12419;
495;45129,12419;
496;45129,12419;
497;45129,12419;
498;45129,12419;
499;45129,12419;
500;45129,12419;
501;45129,12419;
502;45129,12419;
503;45129,12419;
504;45129,12419;
505;45129,12419;
506;45129,12419;
507;45129,12419;
508;45129,12419;
509;45129,12419;
510;45129,12419;
511;45129,12419;
512;45129,12419;
513;45129,12419;
514;45064,20794;
515;45064,20794;
516;45064,20794;
517;45064,20794;
518;45064,20794;
519;45064,20794;
520;45064,20794;
521;45064,20794;
522;45064,20794;
523;45064,20794;
524;44880,19860;
525;44880,19860;
526;44880,19860;
527;44880,19860;
528;44880,19860;
